subjectid,gender,height,weight,handedness,age,race
12816,male,181.5,73.7,right,22,asian
12818,male,180,95.9,right,50,white
12820,male,182.2,86.7,right,40,white
12821,male,165.4,77.6,right,43,white
12824,male,162.1,92.7,right,32,hispanic
12826,male,171.6,78.3,right,31,white
12827,male,164.4,86.2,left,29,white
12830,male,168.2,96,right,44,black
12856,male,165.1,60.9,right,28,pacific_islander
12861,male,170.4,90.4,right,39,white
12865,male,178.4,80.3,right,33,white
12880,male,164,75,right,20,hispanic
12890,male,168.8,70.8,right,26,black
12891,male,179.5,80.3,right,36,white
12893,male,183.9,68.1,right,28,white
12904,male,171,84,right,51,white
12905,male,173,92.9,right,35,white
12908,male,166.9,97.5,right,37,white
12911,male,178.2,110.8,left,28,white
12912,male,174.5,80.1,right,45,white
12917,male,165.5,86.6,right,29,white
12918,male,180.3,97.9,right,32,white
12924,male,173.5,116.4,left,45,white
12925,male,172.9,97.7,right,37,white
12926,male,173.8,79.3,right,21,black
12927,male,178,85.5,right,48,white
12928,male,183.6,81.8,right,28,white
12929,male,172.2,92.1,right,33,white
12931,male,190.7,114,right,26,hispanic
12933,male,163.9,88.2,right,43,white
12936,male,178.4,87.8,right,41,black
12941,male,165.7,87.4,right,26,hispanic
12942,male,174.3,73.4,right,48,white
12943,male,176.3,99.9,right,41,white
12946,male,168.8,90.2,left,31,white
12948,male,175.1,88.2,right,28,white
12952,male,180.8,85.7,right,36,white
12953,male,181.8,86.2,left,24,hispanic
12954,male,167,84.1,right,41,white
12955,male,189.3,108.4,right,27,white
12956,male,180.2,81.6,right,29,white
12958,male,169.7,91.4,right,27,white
12959,male,172.2,93,right,31,white
12960,male,174.5,89.7,left,45,white
12962,male,172.9,98.2,right,37,white
12963,male,174,82.9,right,42,white
12966,male,167.4,77.1,right,36,hispanic
12968,male,174.2,90.3,right,32,white
12969,male,177.7,88,right,29,white
12971,male,178,104.3,right,41,white
12972,male,160,63.3,right,27,black
12973,male,170.7,97.3,right,30,white
12974,male,178.1,79.7,right,49,white
13041,male,176.5,72,right,19,white
13042,male,178.4,65.9,right,19,white
13043,male,180.8,124.7,right,28,white
13045,male,170.2,82.1,right,30,white
13046,male,177.7,75.9,right,24,white
13047,male,172.8,77.4,right,25,white
13048,male,174.6,77.5,right,30,asian
13050,male,171.7,78.5,left,21,white
13052,male,180.9,75.3,right,30,black
13054,male,174.2,87.2,left,19,black
13055,male,194.6,91.8,right,22,white
13056,male,178.7,90,left,24,white
13059,male,182.5,82.5,right,25,white
13067,male,191.5,87.7,left,22,white
13070,male,183.1,86,right,18,black
13071,male,179.8,93.2,right,20,white
13080,male,177,69.9,right,19,black
13084,male,173.3,72.3,right,18,native_american
13094,male,170.6,70.4,right,20,hispanic
13096,male,180.2,83.7,left,30,black
13098,male,170.7,79.5,right,25,white
13110,male,173.6,122.2,right,27,hispanic
13112,male,178.7,97.4,left,31,white
13113,male,161.3,68.4,right,31,white
13117,male,163.8,58.4,right,23,pacific_islander
13183,male,177.9,96.1,right,32,white
13193,male,177,66.6,right,29,black
13199,male,173.4,93.8,right,29,white
13207,male,171.2,77.6,right,34,hispanic
13217,male,181.7,90.3,right,27,white
13226,male,161.8,60.1,right,27,black
13242,male,167.3,73.2,right,26,hispanic
13243,male,174.5,102.6,left,33,hispanic
13249,male,183.6,67.5,left,23,black
13260,male,172.2,73.8,right,38,black
13302,male,171.8,94.1,right,37,white
13303,male,182.4,75.9,right,23,white
13304,male,194.1,88.7,left,30,white
13305,male,188.3,65,right,33,white
13308,male,183.8,74.2,right,20,white
13311,male,177.2,75.6,right,26,white
13331,male,179.7,109.5,right,25,black
13338,male,169.9,66.9,right,24,white
13339,male,170,104.5,right,30,hispanic
13341,male,170.7,81.7,right,39,white
13350,male,181.8,87.4,right,24,black
13522,male,170.8,69.1,right,37,hispanic
13572,male,178.7,83.6,right,24,black
13578,male,175,67.8,right,48,white
13580,male,174.2,95,either,30,white
13595,male,162.3,91.5,right,43,white
13627,male,177.1,82.4,right,23,white
13631,male,172.4,81.6,right,38,white
13634,male,195.1,99.6,right,27,white
13638,male,172.9,70.5,right,20,black
13647,male,171.9,59.6,right,20,white
13648,male,172.3,89.9,right,22,black
13650,male,169.4,82.2,right,32,white
13658,male,169.1,79.9,right,29,white
13669,male,173.3,78.6,right,37,black
13670,male,167.7,76.6,right,30,hispanic
13673,male,175.8,66.7,right,42,black
13674,male,189.9,120.9,right,40,white
13676,male,176.1,77.8,right,47,white
13677,male,171.6,74.4,right,44,black
13679,male,174.1,93.1,right,44,white
13680,male,177.4,88.2,right,37,white
13682,male,171.4,84.6,left,42,white
